,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
186,L3,L6,STC,L6short-b,275,50,0.04727272727272727,Schneider-Mizell2024,schneider-mizell_cell-type_2024
187,L3,L6,STC,L6tall-a,405,50,0.07407407407407407,Schneider-Mizell2024,schneider-mizell_cell-type_2024
188,L3,L6,STC,L6tall-b,310,50,0.08064516129032258,Schneider-Mizell2024,schneider-mizell_cell-type_2024
189,L3,L6,STC,L6tall-c,525,50,0.0419047619047619,Schneider-Mizell2024,schneider-mizell_cell-type_2024
190,L3,L6,STC,L6wm,130,50,0.023076923076923078,Schneider-Mizell2024,schneider-mizell_cell-type_2024
191,L3,L6,STC,PTC,60,50,0.016666666666666666,Schneider-Mizell2024,schneider-mizell_cell-type_2024
192,L4,L1,DTC,STC,81,50,0.2222222222222222,Schneider-Mizell2024,schneider-mizell_cell-type_2024
193,L4,L1,ITC,STC,108,50,0.009259259259259259,Schneider-Mizell2024,schneider-mizell_cell-type_2024
194,L4,L1,PTC,STC,126,50,0.007936507936507936,Schneider-Mizell2024,schneider-mizell_cell-type_2024
195,L4,L2,DTC,DTC,27,50,0.1111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
196,L4,L2,DTC,L2a,513,50,0.5165692007797271,Schneider-Mizell2024,schneider-mizell_cell-type_2024
197,L4,L2,DTC,L2b,594,50,0.20202020202020202,Schneider-Mizell2024,schneider-mizell_cell-type_2024
198,L4,L2,DTC,L2c,648,50,0.7283950617283951,Schneider-Mizell2024,schneider-mizell_cell-type_2024
199,L4,L2,DTC,STC,9,50,0.4444444444444444,Schneider-Mizell2024,schneider-mizell_cell-type_2024
200,L4,L2,ITC,DTC,36,50,0.05555555555555555,Schneider-Mizell2024,schneider-mizell_cell-type_2024
201,L4,L2,ITC,L2a,684,50,0.0014619883040935672,Schneider-Mizell2024,schneider-mizell_cell-type_2024
202,L4,L2,ITC,L2b,792,50,0.0025252525252525255,Schneider-Mizell2024,schneider-mizell_cell-type_2024
203,L4,L2,ITC,L2c,864,50,0.004629629629629629,Schneider-Mizell2024,schneider-mizell_cell-type_2024
204,L4,L2,PTC,DTC,42,50,0.047619047619047616,Schneider-Mizell2024,schneider-mizell_cell-type_2024
205,L4,L2,PTC,L2a,798,50,0.2568922305764411,Schneider-Mizell2024,schneider-mizell_cell-type_2024
206,L4,L2,PTC,L2b,924,50,0.11363636363636363,Schneider-Mizell2024,schneider-mizell_cell-type_2024
207,L4,L2,PTC,L2c,1008,50,0.39880952380952384,Schneider-Mizell2024,schneider-mizell_cell-type_2024
208,L4,L3,DTC,DTC,45,50,0.3111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
209,L4,L3,DTC,ITC,99,50,0.45454545454545453,Schneider-Mizell2024,schneider-mizell_cell-type_2024
210,L4,L3,DTC,L3a,666,50,0.9054054054054054,Schneider-Mizell2024,schneider-mizell_cell-type_2024
211,L4,L3,DTC,L3b,864,50,0.7951388888888888,Schneider-Mizell2024,schneider-mizell_cell-type_2024
212,L4,L3,DTC,PTC,108,50,0.7592592592592593,Schneider-Mizell2024,schneider-mizell_cell-type_2024
