firing rate (Hz),region,spiking class,citation,dataset
0.0943608839040591,VISp,RS,siegle_survey_2019,Siegle2019
0.309688581830122,CA3,RS,siegle_survey_2019,Siegle2019
29.2632335146168,CA3,FS,siegle_survey_2019,Siegle2019
3.16378457800623,VISl,RS,siegle_survey_2019,Siegle2019
2.65184992523074,VISpm,RS,siegle_survey_2019,Siegle2019
0.601787178798946,VISl,RS,siegle_survey_2019,Siegle2019
0.940928295329497,VISl,RS,siegle_survey_2019,Siegle2019
31.9212296319772,VISl,FS,siegle_survey_2019,Siegle2019
0.25483599169047,CA1,RS,siegle_survey_2019,Siegle2019
7.68601141835618,CA1,FS,siegle_survey_2019,Siegle2019
1.22018161591779,ZI,FS,siegle_survey_2019,Siegle2019
2.8116107945825,VISl,RS,siegle_survey_2019,Siegle2019
6.11688888657707,MB,FS,siegle_survey_2019,Siegle2019
4.01442005336451,VISl,RS,siegle_survey_2019,Siegle2019
0.57792605861153,VISl,FS,siegle_survey_2019,Siegle2019
0.944025542801182,VISl,RS,siegle_survey_2019,Siegle2019
0.590288668889217,VISl,RS,siegle_survey_2019,Siegle2019
0.21857926070801,VISl,RS,siegle_survey_2019,Siegle2019
9.74880378595267,grey,FS,siegle_survey_2019,Siegle2019
1.59290675115776,VISl,RS,siegle_survey_2019,Siegle2019
0.397161841105857,VISl,RS,siegle_survey_2019,Siegle2019
5.99507584297913,grey,RS,siegle_survey_2019,Siegle2019
3.35018612633605,grey,RS,siegle_survey_2019,Siegle2019
2.82062203288271,grey,RS,siegle_survey_2019,Siegle2019
1.359642847006,grey,RS,siegle_survey_2019,Siegle2019
5.324046671347,grey,RS,siegle_survey_2019,Siegle2019
12.9871586740235,CA3,FS,siegle_survey_2019,Siegle2019
2.39510666078513,CA3,RS,siegle_survey_2019,Siegle2019
18.1844331862691,CA1,FS,siegle_survey_2019,Siegle2019
3.67471396651836,CA1,RS,siegle_survey_2019,Siegle2019
1.08911202020992,grey,RS,siegle_survey_2019,Siegle2019
12.1618260397959,grey,RS,siegle_survey_2019,Siegle2019
3.29778573755039,CA1,RS,siegle_survey_2019,Siegle2019
