,orientation selectivity index,visual stimulus type,notes,stimulus orientation (degrees),spiking class,region,start time (ms),end time (ms),resolution,simulus drift speed (degrees/s),stimulus width (degrees),stimulus height (degrees),dataset,citation
49,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
50,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
51,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
52,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
53,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
54,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
55,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
56,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
57,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
58,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
59,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
60,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
61,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
62,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
63,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
64,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
65,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
66,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
67,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
68,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
69,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
70,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
71,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
72,,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
