ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915960454,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960460,700.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960463,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960467,1400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960491,0.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960510,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960530,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960535,3200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960550,1600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960553,900.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960562,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960566,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960569,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915961096,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960575,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960578,100.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960581,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960586,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960589,900.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960592,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960595,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960606,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960609,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960612,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960615,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960618,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961098,1500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960624,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960627,1000.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960630,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960634,500.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960642,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960652,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960656,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960670,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960700,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961101,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960665,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960674,300.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960678,700.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960683,600.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960693,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960721,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960732,500.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960765,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960768,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960770,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960780,200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960802,800.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960848,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960857,600.0,VISp,,RS,siegle_survey_2019,Siegle2019
915961111,1200.0,VISp,,RS,siegle_survey_2019,Siegle2019
915960804,500.0,VISp,,FS,siegle_survey_2019,Siegle2019
915960810,400.0,VISp,,RS,siegle_survey_2019,Siegle2019
