cell_id,depth (um),Schneider-Mizell type,region
304978,526.8799354148691,L6CT,VISp
269509,522.659812808014,L6b,VISp
262899,345.3166799953937,L4c,VISp
262806,312.8056248633691,L4b,VISp
305061,526.701498275599,L6CT,VISp
299035,349.5950389172678,L4a,VISp
292656,160.32190457327235,L3a,VISp
299076,334.9936821588038,L4b,VISp
304956,525.3764564636042,L5ET,VISp
298956,326.7714397272648,L4a,VISp
299088,335.10278486986016,L4b,VISp
296731,312.8434855510116,L4b,VISp
298820,358.8290610030708,L4c,VISp
269409,524.0481776799802,L6b,VISp
262423,333.0706997315523,L4a,VISp
296419,310.34068308267325,L4b,VISp
298805,319.9361749693856,L4a,VISp
298714,339.2836017688893,L4a,VISp
298812,351.2293255833949,L4a,VISp
296533,311.6772855828792,L4a,VISp
262419,342.25804619054765,L4a,VISp
298929,334.4153076646444,L4b,VISp
260533,310.07759398519875,L4a,VISp
269350,525.7607293572405,L5ET,VISp
262809,329.4069575056655,L4a,VISp
305105,530.8335006651117,L6a,VISp
269601,524.9528200402651,L6a,VISp
299068,327.7463124914863,L4b,VISp
298809,323.8220820991064,L4a,VISp
262872,361.2240614892155,L4a,VISp
299064,363.8970638496856,L4a,VISp
262814,339.37282060189625,L4a,VISp
299034,337.2669498043263,L4a,VISp
298661,355.3283227427093,L4c,VISp
298941,360.19109670129546,L4c,VISp
262707,353.13138386555306,L4a,VISp
262654,319.430834450086,L4a,VISp
299155,382.0454010946128,L4c,VISp
262889,331.8951936016714,L4a,VISp
262935,344.3442638708326,L4a,VISp
298800,343.9285750585024,L4a,VISp
298824,349.20501459046454,L4c,VISp
298944,332.3478179516107,L4a,VISp
298789,335.66506150206027,L4a,VISp
298803,354.2802138904298,L4b,VISp
256537,161.128889266958,L3a,VISp
299069,333.38237205103485,L4b,VISp
298958,355.3725417298564,L4a,VISp
258208,192.60255808106868,L3b,VISp
299073,369.1249779815169,L4c,VISp
305250,533.2824597008583,L6b,VISp
296725,288.95478367104664,L4a,VISp
269596,525.8350927085296,L6a,VISp
269491,526.2463016422449,L6b,VISp
305238,534.1527961020822,L5NP,VISp
305045,531.0020825981727,L6b,VISp
269406,528.4968526644843,L6a,VISp
305219,533.6780041733202,L6b,VISp
305024,531.1392486125397,L6a,VISp
305197,533.7562113625763,L5ET,VISp
269595,534.9961099937832,L6CT,VISp
304974,540.6092216425403,L6CT,VISp
305110,543.9106559136718,L6a,VISp
304972,540.9631480588365,L6b,VISp
305057,543.0789897063697,L6CT,VISp
269609,541.0584360819627,L6CT,VISp
305200,546.6429932048258,L6a,VISp
305173,545.4349730673299,L6a,VISp
298795,338.3196828265415,L4b,VISp
305138,546.2630845460504,L6a,VISp
269613,546.7797258184866,L6CT,VISp
304955,549.3632207633082,L6b,VISp
305036,550.082056065341,L6b,VISp
305136,550.5579174354573,L6CT,VISp
304981,554.2696646645811,L6a,VISp
304994,558.4687183082782,L6a,VISp
305255,560.100779622253,L6a,VISp
304963,557.6849706347695,L6b,VISp
305205,559.2659920870756,L6b,VISp
269502,556.4890602299453,L6CT,VISp
269709,556.2627623787589,L6b,VISp
305032,559.212784695132,L6CT,VISp
305059,561.9620580020913,L6b,VISp
305067,562.9932016642549,L6a,VISp
269498,558.1109194064484,L6CT,VISp
304979,563.6442632020118,L6CT,VISp
305244,564.9152594682168,L6CT,VISp
304975,563.0195886598736,L6CT,VISp
305222,564.0037097639668,L6a,VISp
304992,566.240648211474,L6a,VISp
269422,561.4181051107471,L5NP,VISp
269593,559.0538272075154,L6a,VISp
305198,529.4677945945515,L6CT,VISp
269576,538.3314168232695,L6a,VISp
269325,542.9776038455577,L6a,VISp
260742,310.1993554733873,L4a,VISp
269476,528.320091832906,L6CT,VISp
305109,553.733948493631,L5NP,VISp
269733,540.8295081254845,L5NP,VISp
262691,319.8769562092,L4b,VISp
262863,323.1790265209795,L4a,VISp
298919,321.01211583746726,L4b,VISp
304958,562.8947058438097,L6CT,VISp
304988,566.3944903065714,L6CT,VISp
305096,566.5522918833898,L6b,VISp
305051,564.3657864312136,L6b,VISp
269405,561.604808144722,L6CT,VISp
305184,565.5006283025289,L6CT,VISp
269411,564.2386204411205,L6b,VISp
305290,567.9257726260715,L6b,VISp
