,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
0,mouse,VISp,18.116236371769016,104.92640197801585,L23,Pvalb,INH,4138,L23,,EXC,4140,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001184659171499212,1.9814515094608252,7.456499618971355,-55.0,0.0,25.0,100.0,125.0
1,mouse,VISp,119.14984729967514,25.48982191609257,L23,,EXC,4140,L23,Vip,INH,4133,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002745233872524154,1.403122413037079,2.8412578585600485,-70.0,100.0,125.0,25.0,50.0
2,mouse,VISp,29.64619373656386,70.29699299588941,L5,,EXC,4224,L5,Sst,INH,4222,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014394858881640478,1.2315636947163562,2.00862736302057,-70.0,25.0,50.0,50.0,75.0
3,mouse,VISp,24.370843682039066,264.0951746326988,L5,Sst,INH,4225,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00228568184954276,2.7467561620313625,6.291631561042453,-55.0,0.0,25.0,250.0,275.0
4,mouse,VISp,12.839963147459288,298.70304509713645,L5,Sst,INH,4225,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019142628703717791,4.7433536589899425,18.477359444143705,-55.0,0.0,25.0,275.0,300.0
5,mouse,VISp,40.409914039677865,107.84409470437328,L4,Sst,INH,4226,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008929041671338239,2.5573846996878906,9.312451090284515,-55.0,25.0,50.0,100.0,125.0
6,mouse,VISp,37.293764698294616,34.31408805706842,L23,,EXC,4227,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001789020662686097,0.6554501482713224,2.4916809237736612,-70.0,25.0,50.0,25.0,50.0
7,mouse,VISp,40.409914039677865,107.84409470437328,L23,,EXC,4227,L4,Sst,INH,4226,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015526115130851013,1.7130286678348317,3.966891543701139,-70.0,25.0,50.0,100.0,125.0
8,mouse,VISp,58.609907710628015,2.1484075222426413,L23,Nr5a1,EXC,4237,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015999236843026493,0.8251227192866089,5.455809529010802,-70.0,50.0,75.0,0.0,25.0
9,mouse,VISp,0.9812198090731908,40.80400826703529,L23,Nr5a1,EXC,4238,L4,Nr5a1,EXC,4240,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.000777397829615906,1.4769212700477068,4.563751085095067,-70.0,0.0,25.0,25.0,50.0
10,mouse,VISp,0.9812198090731908,40.80400826703529,L4,Nr5a1,EXC,4240,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.008935068903137984,1.4311731665539378,3.875943213022296,-70.0,0.0,25.0,25.0,50.0
11,mouse,VISp,47.23525874185249,35.62206830281263,L4,Nr5a1,EXC,4240,L4,Nr5a1,EXC,4241,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015982995954464034,1.1364190019204088,2.858796961885041,-70.0,25.0,50.0,25.0,50.0
12,mouse,VISp,47.75986818157269,23.16297495225534,L5,Tlx3,EXC,4247,L5,Sst,INH,4249,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0006065364025412628,0.8280484324007371,1.9515791346038251,-70.0,25.0,50.0,0.0,25.0
13,mouse,VISp,75.72248191312974,22.72929058122495,L5,Sst,INH,4249,L5,Tlx3,EXC,4246,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002533109418617259,2.862158614090049,4.177009279616929,-55.0,75.0,100.0,0.0,25.0
14,mouse,VISp,47.75986818157269,23.16297495225534,L5,Sst,INH,4249,L5,Tlx3,EXC,4247,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0023206179396719887,1.1586745503887552,3.3169872158676266,-55.0,25.0,50.0,0.0,25.0
15,mouse,VISp,32.17965405119973,103.48145854734118,L4,Sst,INH,4258,L23,Vip,INH,4262,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.04465200500671098,1.7582580853545506,5.5179947130538585,-55.0,25.0,50.0,100.0,125.0
16,mouse,VISp,72.30060120241669,86.4760848000132,L5,Tlx3,EXC,4530,L5,Sst,INH,4528,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0019955523165188977,1.7383300924655487,3.736487626613844,-70.0,50.0,75.0,75.0,100.0
17,mouse,VISp,47.0551271827822,18.11445037455304,L5,Tlx3,EXC,4648,L5,Pvalb,INH,4646,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003220999029029507,0.4076449783559326,1.018986092233491,-70.0,25.0,50.0,0.0,25.0
18,mouse,VISp,93.5910308999105,73.1492939505363,L4,,EXC,4698,L5,Vip,INH,4700,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00010992203431709864,2.4952097951289613,5.566645890487674,-70.0,75.0,100.0,50.0,75.0
19,mouse,VISp,120.35916520396614,20.01152888323354,L5,Tlx3,EXC,4840,L5,Sst,INH,4835,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001106254046673586,0.830470854201227,1.9294079669058262,-70.0,100.0,125.0,0.0,25.0
20,mouse,VISp,58.37036709841021,31.46475560491222,L5,Sst,INH,4848,L5,Tlx3,EXC,4847,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0014883493875401247,2.013683253234407,2.3653898911817217,-55.0,50.0,75.0,25.0,50.0
21,mouse,VISp,43.60654922349207,46.080546169388775,L5,Tlx3,EXC,4858,L5,Pvalb,INH,4860,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.026826238106055566,0.6048412302381729,1.3052525411132752,-70.0,25.0,50.0,25.0,50.0
22,mouse,VISp,84.1601918530113,70.81675636905676,L5,Pvalb,INH,5048,L4,Tlx3,EXC,5052,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002939407994348437,0.8531924940528977,8.893441388836932,-55.0,75.0,100.0,50.0,75.0
23,mouse,VISp,65.38867230980847,28.626443194543956,L4,Tlx3,EXC,5050,L5,Pvalb,INH,5048,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015153648238961765,1.3394879249741911,0.6703265313401056,-70.0,50.0,75.0,25.0,50.0
24,mouse,VISp,24.058354388862487,3.9853597566476786,L5,Sst,INH,5096,L5,Sim1,EXC,5101,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019072932424439178,3.0649464890276144,7.046145305543706,-55.0,0.0,25.0,0.0,25.0
25,mouse,VISp,52.81544427153541,4.110119222155992,L5,Sim1,EXC,5097,L5,Sst,INH,5096,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0009807286201328654,0.697349695514389,1.8234057764437774,-70.0,50.0,75.0,0.0,25.0
26,mouse,VISp,51.804187564586975,29.972345956616298,L5,Sst,INH,5535,L5,Sst,INH,5534,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002084269758542799,2.1479261469808955,12.790323513284077,-55.0,50.0,75.0,25.0,50.0
27,mouse,VISp,67.29796377653787,29.026095906129058,L6a,Sst,INH,5537,L6a,Sim1,EXC,5536,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0008347053118343031,1.9563370326545564,7.938430248056754,-55.0,50.0,75.0,25.0,50.0
28,mouse,VISp,50.93426754706449,65.37690643686048,L5,Sim1,EXC,5736,L5,Sst,INH,5740,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001036257185077757,0.9815321466931516,8.894064169364396,-70.0,50.0,75.0,50.0,75.0
29,mouse,VISp,1.2397044240628938,89.44019244165871,L5,Sim1,EXC,5738,L5,Sst,INH,5740,AISynphys,Accessed on 2025-07-07 00:00:007,True,-7.373539679085973e-15,0.8031436830362684,2.1402125787580992,-70.0,0.0,25.0,75.0,100.0
30,mouse,VISp,26.308654383995044,48.154014328646454,L5,Sim1,EXC,5739,L5,Sst,INH,5742,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00270161538783069,1.351334062355542,2.915379185018349,-70.0,25.0,50.0,25.0,50.0
31,mouse,VISp,23.758525839981797,86.72668023065852,L5,Sst,INH,5742,L5,Sim1,EXC,5738,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001854494243860011,2.2096586266185665,8.664807537171107,-55.0,0.0,25.0,75.0,100.0
32,mouse,VISp,31.226941243115935,70.6798371818936,L5,Tlx3,EXC,5949,L5,Sst,INH,5943,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002725367073096591,1.6887860280119773,3.2768623530652885,-70.0,25.0,50.0,50.0,75.0
33,mouse,VISp,110.69932764615432,46.498656985546006,L4,,INH,6147,L4,,INH,6142,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003079752233215045,1.1076270915836877,5.0037345511913545,-55.0,100.0,125.0,25.0,50.0
34,mouse,VISp,96.18481630600834,31.5579407534696,L4,Sim1,EXC,6182,L4,Sim1,EXC,6186,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0005882509597319315,2.6640507389412,30.19191273374598,-70.0,75.0,100.0,25.0,50.0
35,mouse,VISp,82.02478946495782,19.22910424511122,L4,Sim1,EXC,6183,L4,Sim1,EXC,6185,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003874810377037744,0.8719079577717204,3.0882611130829773,-70.0,75.0,100.0,0.0,25.0
36,mouse,VISp,82.02478946495782,19.22910424511122,L4,Sim1,EXC,6185,L4,Sim1,EXC,6183,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.04102338190901488,1.8980036858479221,2.1239682928170796,-70.0,75.0,100.0,0.0,25.0
37,mouse,VISp,13.58078178272135,65.33982538919197,L5,Tlx3,EXC,6299,L4,Sst,INH,6297,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004895701421668717,1.1551331712033521,3.059849251895179,-70.0,0.0,25.0,50.0,75.0
38,mouse,VISp,24.439064591691896,69.70489630214722,L5,Sst,INH,6300,L4,Sst,INH,6297,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.02350833499326617,2.5660986845997424,11.22966191254749,-55.0,0.0,25.0,50.0,75.0
39,mouse,VISp,85.8827656360111,35.44758247666349,L5,Sim1,EXC,6403,L5,Sim1,EXC,6399,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004936149136861599,2.5606388497629764,3.1771261310457946,-70.0,75.0,100.0,25.0,50.0
40,mouse,VISp,66.4591472587716,43.88764882204169,L5,Sim1,EXC,6404,L5,Sim1,EXC,6399,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003071282381875976,2.6956078503218306,3.299392622675852,-70.0,50.0,75.0,25.0,50.0
41,mouse,VISp,104.72585460378647,13.959286953372658,L4,,EXC,6455,L5,Sim1,EXC,6458,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.011881313558627222,2.849427465691682,5.788493510430876,-70.0,100.0,125.0,0.0,25.0
42,mouse,VISp,87.64367054018098,55.90864429356375,L5,,INH,6514,L5,Tlx3,EXC,6516,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0026855988435515264,2.003295227994865,3.7006789368134454,-55.0,75.0,100.0,50.0,75.0
43,mouse,VISp,38.59616206854907,10.595604002523647,L5,Tlx3,EXC,6583,L5,Tlx3,EXC,6584,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00516388353270121,2.417874455632376,1.329470742611792,-70.0,25.0,50.0,0.0,25.0
44,mouse,VISp,38.59616206854907,10.595604002523647,L5,Tlx3,EXC,6584,L5,Tlx3,EXC,6583,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00356745658518764,2.0714852820251224,6.686028295848846,-70.0,25.0,50.0,0.0,25.0
45,mouse,VISp,3.0152284160330494,22.715952140492902,L5,Tlx3,EXC,6585,L5,Tlx3,EXC,6584,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.010022055896943589,1.245660513544784,2.7905328341820232,-70.0,0.0,25.0,0.0,25.0
46,mouse,VISp,25.188314055614043,43.71627321542597,L4,Tlx3,EXC,6660,L5,Pvalb,INH,6667,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01579272425216533,0.5398454868284821,1.5363822317053364,-70.0,25.0,50.0,25.0,50.0
47,mouse,VISp,89.72803683387302,9.433839588898035,L5,Sim1,EXC,6950,L5,Sim1,EXC,6949,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.003959399770402858,3.226242457941004,6.071508577551073,-70.0,75.0,100.0,0.0,25.0
48,mouse,VISp,58.83633493943066,7.580901971740904,L5,Sst,INH,8177,L5,Pvalb,INH,8167,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019139921493256814,2.191003821546165,2.928612855330046,-55.0,50.0,75.0,0.0,25.0
49,mouse,VISp,19.071821874078996,29.81595007547791,L5,Tlx3,EXC,8197,L5,Pvalb,INH,8198,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.020150643687778972,0.9895959954511859,2.099454747981462,-70.0,0.0,25.0,25.0,50.0
50,mouse,VISp,29.876773467998017,42.676850688422824,L4,Pvalb,INH,8204,L5,Tlx3,EXC,8197,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.011917928720118716,1.065332730551614,4.819912993572423,-55.0,25.0,50.0,25.0,50.0
51,mouse,VISp,2.0849332917615695,10.439468364763853,L23,,EXC,8548,L23,Vip,INH,8549,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015204581506866176,2.271552665999342,1.5257450138267046,-70.0,0.0,25.0,0.0,25.0
52,mouse,VISp,78.35175105089279,93.69604530447867,L23,,EXC,8548,L4,Sst,INH,8552,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.008904089709128654,2.6899176057993563,16.577450373435063,-70.0,75.0,100.0,75.0,100.0
53,mouse,VISp,78.35175105089279,93.69604530447867,L4,Sst,INH,8552,L23,,EXC,8548,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0074562462155705524,1.776044951603753,12.517606923890641,-55.0,75.0,100.0,75.0,100.0
54,mouse,VISp,76.09229915614632,61.76087295190568,L23,,EXC,8576,L23,Vip,INH,8578,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0041104093397521385,0.6948131783377482,3.5592819580488193,-70.0,75.0,100.0,50.0,75.0
55,mouse,VISp,59.20130907150599,11.232143229142713,L23,Pvalb,INH,8730,L23,Pvalb,INH,8725,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0028188193404084026,1.5783218844938458,13.569337556551663,-55.0,50.0,75.0,0.0,25.0
56,mouse,VISp,22.323371031373103,59.9325660181146,L23,,EXC,8734,L4,Pvalb,INH,8735,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.010458711290789407,0.5010262927172365,0.46462022566213274,-70.0,0.0,25.0,50.0,75.0
57,mouse,VISp,27.377172474766788,72.65865029696656,L23,,EXC,8737,L4,Sst,INH,8736,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001643736270693736,0.5743942192442347,1.759484734641368,-70.0,25.0,50.0,50.0,75.0
58,mouse,VISp,2.060302831698496,70.95285091813928,L23,,EXC,8786,L23,Sst,INH,8784,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0022631533790707196,0.9852983761995912,2.199397518304609,-70.0,0.0,25.0,50.0,75.0
59,mouse,VISp,46.00039550441869,13.232074132465831,L5,Pvalb,INH,8800,L5,,EXC,8794,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004422601005035798,1.8633164216442508,23.435587371916746,-55.0,25.0,50.0,0.0,25.0
60,mouse,VISp,24.761218066877316,44.2480478924723,L5,Pvalb,INH,8800,L5,Pvalb,INH,8798,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008261059318262208,0.9663986656368401,3.3090071516080406,-55.0,0.0,25.0,25.0,50.0
61,mouse,VISp,53.59272321146997,37.22093930180687,L5,,INH,8874,L5,Rorb,EXC,8875,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.025738597353637222,1.8265400027326326,6.622475682448918,-55.0,50.0,75.0,25.0,50.0
62,mouse,VISp,70.62323508164413,28.161483524538497,L5,,INH,8874,L5,Rorb,EXC,8876,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.009876057394815655,1.802064306237442,8.05128564497467,-55.0,50.0,75.0,25.0,50.0
63,mouse,VISp,53.59272321146997,37.22093930180687,L5,Rorb,EXC,8875,L5,,INH,8874,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00924214580880347,0.5055933144151374,4.221780145448319,-70.0,50.0,75.0,25.0,50.0
64,mouse,VISp,74.2554508036295,22.041738984929207,L5,Rorb,EXC,8875,L5,,INH,8878,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0024316184851404035,1.8110073546730978,5.787576780304992,-70.0,50.0,75.0,0.0,25.0
65,mouse,VISp,70.62323508164413,28.161483524538497,L5,Rorb,EXC,8876,L5,,INH,8874,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.007150438575305825,0.7225120896944018,5.420706262446672,-70.0,50.0,75.0,25.0,50.0
66,mouse,VISp,49.875672647831294,24.176746012984736,L5,,INH,8878,L5,Rorb,EXC,8880,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004356449011266356,4.5106957217052095,16.709228499038343,-55.0,25.0,50.0,0.0,25.0
67,mouse,VISp,45.99996773982757,3.3806879262655145,L5,Rorb,EXC,8879,L5,Rorb,EXC,8876,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00028686487768658434,3.3536124302557706,0.9209397200527862,-70.0,25.0,50.0,0.0,25.0
68,mouse,VISp,49.875672647831294,24.176746012984736,L5,Rorb,EXC,8880,L5,,INH,8878,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0034767455537642058,0.5857085789528591,1.7514180796289243,-70.0,25.0,50.0,0.0,25.0
69,mouse,VISp,176.13909259504268,73.80893752063572,L23,Sst,INH,8926,L23,,INH,8923,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.002534927611805439,2.6759050195406866,2.563267029950721,-55.0,175.0,200.0,50.0,75.0
70,mouse,VISp,70.29584296091392,145.03163381502156,L5,Tlx3,EXC,8942,L5,Vip,INH,8938,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002534076080675155,1.9964480821831583,4.039628489267197,-70.0,50.0,75.0,125.0,150.0
71,mouse,VISp,58.695232508196376,93.26583415087605,L5,Sst,INH,8979,L5,Sst,INH,8975,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.007234731771296088,2.159882953091206,3.566132663833155,-55.0,50.0,75.0,75.0,100.0
72,mouse,VISp,94.80178641959778,47.45627844503838,L5,Pvalb,INH,9070,L4,Pvalb,INH,9077,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.04735769606223115,0.9199811390955507,3.0876645917294927,-55.0,75.0,100.0,25.0,50.0
73,mouse,VISp,35.60536367587496,37.442301857106955,L5,Pvalb,INH,9071,L5,Tlx3,EXC,9072,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005295898946708726,0.3484945738409477,6.869211471450922,-55.0,25.0,50.0,25.0,50.0
74,mouse,VISp,133.85027494722138,66.35310972217655,L4,,EXC,9120,L4,Pvalb,INH,9123,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001588266754574432,3.62543738163512,1.0952582791214052,-70.0,125.0,150.0,50.0,75.0
75,mouse,VISp,30.168403812285483,16.648284312771846,L4,Pvalb,INH,9122,L4,Pvalb,INH,9123,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.03341672689324616,0.7557626410460884,2.274478840181257,-55.0,25.0,50.0,0.0,25.0
76,mouse,VISp,154.9315513454141,35.92519870541349,L4,Nr5a1,EXC,9193,L4,Nr5a1,EXC,9196,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0016554225599492926,1.293885835441983,0.6960316595104142,-70.0,150.0,175.0,25.0,50.0
77,mouse,VISp,8.180776698769394,45.91310994111458,L4,Nr5a1,EXC,9194,L4,Nr5a1,EXC,9196,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.011245241210981022,1.8720063313396194,2.9310145745097578,-70.0,0.0,25.0,25.0,50.0
78,mouse,VISp,40.54421563320026,24.69885692230632,L4,Nr5a1,EXC,9216,L4,Nr5a1,EXC,9215,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0025484096408712235,1.1521880533902025,2.6720376540223385,-70.0,25.0,50.0,0.0,25.0
79,mouse,VISp,55.253538237993574,39.210627011979355,L4,Nr5a1,EXC,9217,L4,Nr5a1,EXC,9218,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.02087547220884415,4.151560827581436,3.969993765198105,-70.0,50.0,75.0,25.0,50.0
80,mouse,VISp,29.124368132053874,98.8266312494693,L4,Sst,INH,9248,L5,Sst,INH,9246,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019199935366163168,2.936911302734305,18.136435374310075,-55.0,25.0,50.0,75.0,100.0
81,mouse,VISp,97.9249964830103,47.16024883196029,L6a,Pvalb,INH,9255,L6a,Pvalb,INH,9260,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.023694848414431414,0.9829768178942145,3.0958702227964876,-55.0,75.0,100.0,25.0,50.0
82,mouse,VISp,92.45409398603081,7.382662735907201,L4,Nr5a1,EXC,9429,L4,Nr5a1,EXC,9431,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015777377156469344,1.875391315543082,0.9661957594214032,-70.0,75.0,100.0,0.0,25.0
83,mouse,VISp,19.640064358579902,52.66992802995693,L23,,EXC,9502,L23,,INH,9503,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01571831143740253,0.6551239224345811,1.4982882075330495,-70.0,0.0,25.0,50.0,75.0
84,mouse,VISp,89.90167691921825,53.767208954181555,L6a,,INH,9536,L6a,,INH,9534,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.004730160796371239,1.3951521565419045,2.395518539066129,-55.0,75.0,100.0,50.0,75.0
85,mouse,VISp,71.5812725003512,106.2620611503022,L4,Sst,INH,9563,L23,,EXC,9564,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003974359491703177,1.303571151622449,6.562638374361401,-55.0,50.0,75.0,100.0,125.0
86,mouse,VISp,27.125915205468097,72.32690578972476,L23,,EXC,9643,L23,Vip,INH,9642,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.01286727158687387,1.529317360122907,2.9729458561527893,-70.0,25.0,50.0,50.0,75.0
87,mouse,VISp,7.059834893675386,136.69482972027146,L6a,,EXC,9804,L5,Pvalb,INH,9806,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0008970023285015578,2.8886315598093604,3.0350524224248976,-70.0,0.0,25.0,125.0,150.0
88,mouse,VISp,74.11401438971644,95.28362384765232,L5,Pvalb,INH,9808,L6a,,EXC,9804,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.003185508574078639,1.1867999273986458,2.7911125199101114,-55.0,50.0,75.0,75.0,100.0
89,mouse,VISp,37.85644067906564,36.376846181086,L6a,Ntsr1,EXC,9816,L6a,Pvalb,INH,9814,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.015368046386071523,0.9360992343778776,1.3863990973211786,-70.0,25.0,50.0,25.0,50.0
90,mouse,VISp,54.72245910613976,16.551796983918827,L6a,Ntsr1,EXC,9817,L6a,Pvalb,INH,9814,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0021249604826095543,1.2449315065774,1.667314937789606,-70.0,50.0,75.0,0.0,25.0
91,mouse,VISp,23.83727190035755,58.700067897306965,L5,Tlx3,EXC,9841,L5,Sst,INH,9840,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.065738145274659e-14,2.11817110128685,2.5034749067835467,-70.0,0.0,25.0,50.0,75.0
92,mouse,VISp,25.412754688668834,94.34509512329475,L4,Nr5a1,EXC,9897,L5,Nr5a1,EXC,9900,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001612090380114148,1.4322867079983563,5.151644954384843,-70.0,25.0,50.0,75.0,100.0
93,mouse,VISp,53.6778045797308,22.7351948183922,L4,Nr5a1,EXC,9899,L4,Nr5a1,EXC,9904,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004038833034547284,1.4686199053294593,3.448755502819205,-70.0,50.0,75.0,0.0,25.0
94,mouse,VISp,19.142505479907797,24.53818109481037,L4,Nr5a1,EXC,9904,L4,Nr5a1,EXC,9901,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.005862107742884091,1.5906409449156567,4.2597622521484935,-70.0,0.0,25.0,0.0,25.0
95,mouse,VISp,66.5252367628942,72.61867681182908,L5,Sst,INH,9908,L5,,INH,9906,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.006196139253861493,1.2559828450212884,4.282555090074706,-55.0,50.0,75.0,50.0,75.0
96,mouse,VISp,40.33390008113639,50.79239018489793,L5,,EXC,10390,L6a,Sst,INH,10395,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002863183694044209,0.4837127333452133,0.6824450033935504,-70.0,25.0,50.0,50.0,75.0
97,mouse,VISp,21.416846242620615,24.781421766717926,L6a,Ntsr1,EXC,10410,L6a,Pvalb,INH,10411,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.03282851563641647,0.3556826492957445,0.5940291378065657,-70.0,0.0,25.0,0.0,25.0
98,mouse,VISp,100.3814543081804,41.35789108144465,L6a,Ntsr1,EXC,10433,L6a,Pvalb,INH,10427,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002311670880129443,0.9169408229416992,1.5847703737783616,-70.0,100.0,125.0,25.0,50.0
99,mouse,VISp,24.597919627386315,25.14139390934103,L6a,Pvalb,INH,10460,L6a,,EXC,10461,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.005967767095972319,0.947948697717746,5.9618248982873325,-55.0,0.0,25.0,25.0,50.0
100,mouse,VISp,24.597919627386315,25.14139390934103,L6a,,EXC,10461,L6a,Pvalb,INH,10460,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.012633586953138275,0.5089474060541636,0.9960123062136454,-70.0,0.0,25.0,25.0,50.0
101,mouse,VISp,94.16846298544571,20.3028020876136,L6a,Ntsr1,EXC,10490,L6a,,EXC,10493,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0009561134995722924,1.5229625922732977,1.1613392685884834,-70.0,75.0,100.0,0.0,25.0
102,mouse,VISp,14.337886077482235,4.852877669912098,L6a,Ntsr1,EXC,10495,L6a,Sst,INH,10494,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00042430308825127213,3.826296654193113,2.9322335144258487,-70.0,0.0,25.0,0.0,25.0
103,mouse,VISp,29.772726252556016,62.011138128487595,L6a,Ntsr1,EXC,10496,L6a,,EXC,10493,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.009098416841941919,1.504724402378918,2.5549679345742358,-70.0,25.0,50.0,50.0,75.0
104,mouse,VISp,0.07224039638872086,37.03379230075067,L6a,Ntsr1,EXC,10496,L6a,Sst,INH,10494,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00013061807081674024,1.6245855432451943,2.3490164713129533,-70.0,0.0,25.0,25.0,50.0
105,mouse,VISp,65.36391441520044,34.7787630161329,L4,Sim1,EXC,10556,L5,Sim1,EXC,10560,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0011086204725694905,1.882092783137376,3.0608227569123447,-70.0,50.0,75.0,25.0,50.0
