,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
209,mouse,VISp,53.17639182073048,50.65954524675631,L6a,Pvalb,INH,14809,L5,Pvalb,INH,14808,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.02780320698291152,0.3939918100182485,1.9593108068968144,-55.0,50.0,75.0,50.0,75.0
210,mouse,VISp,21.862346570784272,105.1700573455623,L5,Pvalb,INH,14902,L4,Pvalb,INH,14904,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008058509453837664,0.5851001700241477,1.5788704625117984,-55.0,0.0,25.0,100.0,125.0
211,mouse,VISp,13.220759643333443,89.1497305080794,L5,Pvalb,INH,14903,L4,Pvalb,INH,14904,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.02898929810956665,0.8782511609316084,1.5863523227962522,-55.0,0.0,25.0,75.0,100.0
212,mouse,VISp,13.220759643333443,89.1497305080794,L4,Pvalb,INH,14904,L5,Pvalb,INH,14903,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.04945391596590478,0.7466707994760828,1.5046304635228203,-55.0,0.0,25.0,75.0,100.0
213,mouse,VISp,29.644927327059158,40.89405928069973,L5,Tlx3,EXC,14922,L4,Tlx3,EXC,14921,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001152368366343757,1.1768405955465868,7.277877346919342,-70.0,25.0,50.0,25.0,50.0
214,mouse,VISp,23.886548501699238,39.2293801018568,L5,Tlx3,EXC,14926,L5,Fam84b,EXC,14925,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.03135075255916708,1.844150614205978,2.8189464784846754,-70.0,0.0,25.0,25.0,50.0
215,mouse,VISp,93.6098229330198,104.22287699146774,L4,Tlx3,EXC,14927,L5,Fam84b,EXC,14924,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.004572054116031022,1.785409271143114,22.504467298360392,-70.0,75.0,100.0,100.0,125.0
216,mouse,VISp,37.066467804060295,70.29580305352914,L5,Sim1,EXC,15013,L5,,EXC,15012,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0012871355732105188,1.2285105478141072,12.07249170932266,-70.0,25.0,50.0,50.0,75.0
217,mouse,VISp,93.46356415191258,71.74777990343135,L5,Sim1,EXC,15013,L5,Sim1,EXC,15014,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0053375427743583845,2.01316676764267,4.353873211209551,-70.0,75.0,100.0,50.0,75.0
218,mouse,VISp,32.25827092597826,51.93456109601942,L4,Vip,INH,15148,L5,Vip,INH,15141,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0007938383045975649,2.076941121921574,6.985411889808619,-55.0,25.0,50.0,50.0,75.0
219,mouse,VISp,32.5048258891473,44.12913568739163,L23,Nr5a1,EXC,15171,L4,Sst,INH,15173,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0033523929768365566,0.5033371834817926,1.5233757512236907,-70.0,25.0,50.0,25.0,50.0
220,mouse,VISp,23.7936566756596,49.56439808623545,L4,Nr5a1,EXC,15172,L23,Nr5a1,EXC,15171,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.00860083204799577,1.9002912524034252,1.8348252898018622,-70.0,0.0,25.0,25.0,50.0
221,mouse,VISp,34.779268380457204,48.7234610364465,L6a,Sst,INH,15327,L6a,Ntsr1,EXC,15326,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0038282924310899477,3.2901029887364674,5.071978981747681,-55.0,25.0,50.0,25.0,50.0
222,mouse,VISp,231.85285697278724,52.23410588271178,L23,,EXC,15672,L23,,EXC,15668,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0012110483904157385,0.805310276664062,1.5913876552859405,-70.0,225.0,250.0,50.0,75.0
